eventId,sourceSymbol,eventDate,mappedCik,mappingConfidence,companyName,datasetOrigin,actorFamily,stage2SealRole,trainingEligible,windowStart,windowEnd,edgarLogAvailable
CONTROL_FILING_ALIGNED_SURGE_CONTROL_BNGO_20260323,BNGO,2026-03-23,1411690,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2026-03-13,2026-03-28,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_BRKR_20070208,BRKR,2007-02-08,1109354,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2007-01-29,2007-02-13,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_BRKR_20071203,BRKR,2007-12-03,1109354,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2007-11-23,2007-12-08,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_CAH_20041027,CAH,2004-10-27,721371,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2004-10-17,2004-11-01,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_CAH_20201105,CAH,2020-11-05,721371,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2020-10-26,2020-11-10,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_CETX_20161213,CETX,2016-12-13,1435064,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2016-12-03,2016-12-18,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_CETX_20190612,CETX,2019-06-12,1435064,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2019-06-02,2019-06-17,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_CHKP_20040420,CHKP,2004-04-20,1015922,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2004-04-10,2004-04-25,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_CHKP_20041018,CHKP,2004-10-18,1015922,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2004-10-08,2004-10-23,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_COF_19980416,COF,1998-04-16,927628,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,1998-04-06,1998-04-21,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_COF_20080123,COF,2008-01-23,927628,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2008-01-13,2008-01-28,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_CPMD_20081112,CPMD,2008-11-12,1081938,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2008-11-02,2008-11-17,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_CPMD_20090331,CPMD,2009-03-31,1081938,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2009-03-21,2009-04-05,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_CRON_20190124,CRON,2019-01-24,1656472,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2019-01-14,2019-01-29,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_CRON_20211108,CRON,2021-11-08,1656472,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2021-10-29,2021-11-13,1
